Source Name	Comment[ENA_SAMPLE]	Characteristics[organism]	Characteristics[age]	Characteristics[generation]	Characteristics[cell type]	Characteristics[stimulus]	Characteristics[differentiated]	Characteristics[time]	Unit[time unit]	Material Type	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Protocol REF	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value[generation]	Factor Value[cell type]	Factor Value[stimulus]	Factor Value[differentiated]	Factor Value[time]	Unit[time unit]
TH2t18_A	ERS717101	Mus musculus	6-12 weeks	  	T helper cells subtype 2	  	  	18	hour	cell	P-MTAB-44548	Valentina Proserpio	P-MTAB-44549	Valentina Proserpio	P-MTAB-44552	Valentina Proserpio	P-MTAB-44550	Valentina Proserpio	P-MTAB-44551	Valentina Proserpio	TH2t18_A	SINGLE	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-44553	Valentina Proserpio	TH2t18_A	sequencing assay	ERX953027	teichmann_TH2t18A.fastq.gz	teichmann_TH2t18A.fastq.gz	ERR873439	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR873/ERR873439/ERR873439.fastq.gz	P-MTAB-44554	P-MTAB-44555	TH2t18A_reads.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3543/E-MTAB-3543.processed.1.zip	not applicable	T helper cells subtype 2	  	  	18	hour
TH2t18_B	ERS717105	Mus musculus	6-12 weeks	  	T helper cells subtype 2	  	  	18	hour	cell	P-MTAB-44548	Valentina Proserpio	P-MTAB-44549	Valentina Proserpio	P-MTAB-44552	Valentina Proserpio	P-MTAB-44550	Valentina Proserpio	P-MTAB-44551	Valentina Proserpio	TH2t18_B	SINGLE	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-44553	Valentina Proserpio	TH2t18_B	sequencing assay	ERX953031	teichmann_TH2t18B.fastq.gz	teichmann_TH2t18B.fastq.gz	ERR873432	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR873/ERR873432/ERR873432.fastq.gz	P-MTAB-44554	P-MTAB-44555	TH2t18B_reads.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3543/E-MTAB-3543.processed.1.zip	not applicable	T helper cells subtype 2	  	  	18	hour
TH2t24_A	ERS717104	Mus musculus	6-12 weeks	  	T helper cells subtype 2	  	  	24	hour	cell	P-MTAB-44548	Valentina Proserpio	P-MTAB-44549	Valentina Proserpio	P-MTAB-44552	Valentina Proserpio	P-MTAB-44550	Valentina Proserpio	P-MTAB-44551	Valentina Proserpio	TH2t24_A	SINGLE	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-44553	Valentina Proserpio	TH2t24_A	sequencing assay	ERX953030	teichmann_TH2t24A.fastq.gz	teichmann_TH2t24A.fastq.gz	ERR873424	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR873/ERR873424/ERR873424.fastq.gz	P-MTAB-44554	P-MTAB-44555	TH2t24A_reads.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3543/E-MTAB-3543.processed.1.zip	not applicable	T helper cells subtype 2	  	  	24	hour
TH2t24_B	ERS717108	Mus musculus	6-12 weeks	  	T helper cells subtype 2	  	  	24	hour	cell	P-MTAB-44548	Valentina Proserpio	P-MTAB-44549	Valentina Proserpio	P-MTAB-44552	Valentina Proserpio	P-MTAB-44550	Valentina Proserpio	P-MTAB-44551	Valentina Proserpio	TH2t24_B	SINGLE	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-44553	Valentina Proserpio	TH2t24_B	sequencing assay	ERX953034	teichmann_TH2t24B.fastq.gz	teichmann_TH2t24B.fastq.gz	ERR873430	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR873/ERR873430/ERR873430.fastq.gz	P-MTAB-44554	P-MTAB-44555	TH2t24B_reads.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3543/E-MTAB-3543.processed.1.zip	not applicable	T helper cells subtype 2	  	  	24	hour
TH2t48_A	ERS717113	Mus musculus	6-12 weeks	  	T helper cells subtype 2	  	  	48	hour	cell	P-MTAB-44548	Valentina Proserpio	P-MTAB-44549	Valentina Proserpio	P-MTAB-44552	Valentina Proserpio	P-MTAB-44550	Valentina Proserpio	P-MTAB-44551	Valentina Proserpio	TH2t48_A	SINGLE	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-44553	Valentina Proserpio	TH2t48_A	sequencing assay	ERX953039	teichmann_TH2t48A.fastq.gz	teichmann_TH2t48A.fastq.gz	ERR873443	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR873/ERR873443/ERR873443.fastq.gz	P-MTAB-44554	P-MTAB-44555	TH2t48A_reads.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3543/E-MTAB-3543.processed.1.zip	not applicable	T helper cells subtype 2	  	  	48	hour
TH2t48_B	ERS717115	Mus musculus	6-12 weeks	  	T helper cells subtype 2	  	  	48	hour	cell	P-MTAB-44548	Valentina Proserpio	P-MTAB-44549	Valentina Proserpio	P-MTAB-44552	Valentina Proserpio	P-MTAB-44550	Valentina Proserpio	P-MTAB-44551	Valentina Proserpio	TH2t48_B	SINGLE	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-44553	Valentina Proserpio	TH2t48_B	sequencing assay	ERX953041	teichmann_TH2t48B.fastq.gz	teichmann_TH2t48B.fastq.gz	ERR873435	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR873/ERR873435/ERR873435.fastq.gz	P-MTAB-44554	P-MTAB-44555	TH2t48B_reads.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3543/E-MTAB-3543.processed.1.zip	not applicable	T helper cells subtype 2	  	  	48	hour
TH2t6_A	ERS717106	Mus musculus	6-12 weeks	  	T helper cells subtype 2	  	  	6	hour	cell	P-MTAB-44548	Valentina Proserpio	P-MTAB-44549	Valentina Proserpio	P-MTAB-44552	Valentina Proserpio	P-MTAB-44550	Valentina Proserpio	P-MTAB-44551	Valentina Proserpio	TH2t6_A	SINGLE	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-44553	Valentina Proserpio	TH2t6_A	sequencing assay	ERX953032	teichmann_TH2t6A.fastq.gz	teichmann_TH2t6A.fastq.gz	ERR873440	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR873/ERR873440/ERR873440.fastq.gz	P-MTAB-44554	P-MTAB-44555	TH2t6A_reads.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3543/E-MTAB-3543.processed.1.zip	not applicable	T helper cells subtype 2	  	  	6	hour
TH2t6_B	ERS717117	Mus musculus	6-12 weeks	  	T helper cells subtype 2	  	  	6	hour	cell	P-MTAB-44548	Valentina Proserpio	P-MTAB-44549	Valentina Proserpio	P-MTAB-44552	Valentina Proserpio	P-MTAB-44550	Valentina Proserpio	P-MTAB-44551	Valentina Proserpio	TH2t6_B	SINGLE	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-44553	Valentina Proserpio	TH2t6_B	sequencing assay	ERX953043	teichmann_TH2t6B.fastq.gz	teichmann_TH2t6B.fastq.gz	ERR873437	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR873/ERR873437/ERR873437.fastq.gz	P-MTAB-44554	P-MTAB-44555	TH2t6B_reads.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3543/E-MTAB-3543.processed.1.zip	not applicable	T helper cells subtype 2	  	  	6	hour
TH2t84_A	ERS717111	Mus musculus	6-12 weeks	  	T helper cells subtype 2	  	  	84	hour	cell	P-MTAB-44548	Valentina Proserpio	P-MTAB-44549	Valentina Proserpio	P-MTAB-44552	Valentina Proserpio	P-MTAB-44550	Valentina Proserpio	P-MTAB-44551	Valentina Proserpio	TH2t84_A	SINGLE	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-44553	Valentina Proserpio	TH2t84_A	sequencing assay	ERX953037	teichmann_TH2t84A.fastq.gz	teichmann_TH2t84A.fastq.gz	ERR873429	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR873/ERR873429/ERR873429.fastq.gz	P-MTAB-44554	P-MTAB-44555	TH2t84A_reads.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3543/E-MTAB-3543.processed.1.zip	not applicable	T helper cells subtype 2	  	  	84	hour
TH2t84_B	ERS717112	Mus musculus	6-12 weeks	  	T helper cells subtype 2	  	  	84	hour	cell	P-MTAB-44548	Valentina Proserpio	P-MTAB-44549	Valentina Proserpio	P-MTAB-44552	Valentina Proserpio	P-MTAB-44550	Valentina Proserpio	P-MTAB-44551	Valentina Proserpio	TH2t84_B	SINGLE	RANDOM	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-44553	Valentina Proserpio	TH2t84_B	sequencing assay	ERX953038	teichmann_TH2t84B.fastq.gz	teichmann_TH2t84B.fastq.gz	ERR873428	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR873/ERR873428/ERR873428.fastq.gz	P-MTAB-44554	P-MTAB-44555	TH2t84B_reads.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3543/E-MTAB-3543.processed.1.zip	not applicable	T helper cells subtype 2	  	  	84	hour
