MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:87916	Ada	adenosine deaminase	2		positive regulation of T cell differentiation in thymus	regulates the differentiation of thymocyte		IMP	MGI:1857117 MGI:2683027 	J:110739 	
MGI:87916	Ada	adenosine deaminase	2		positive regulation of T cell differentiation in thymus	regulates the differentiation of thymocyte		IMP		J:107216 J:115112 J:131709 	
MGI:87916	Ada	adenosine deaminase	2		regulation of T cell differentiation	happens in thymus,regulates the differentiation of T cell		IMP	MGI:2155977 	J:26731 	
MGI:87916	Ada	adenosine deaminase	2		T cell activation			IBA	PTN002605214 	J:265628 	
MGI:87916	Ada	adenosine deaminase	2		T cell activation			ISO	P00813 	J:164563 	
MGI:107825	Adam8	a disintegrin and metallopeptidase domain 8	7		positive regulation of T cell differentiation in thymus			IDA		J:165123 	
MGI:1096335	Adam17	a disintegrin and metallopeptidase domain 17	12		T cell differentiation in thymus			IMP		J:143629 	
MGI:87930	Adk	adenosine kinase	14		positive regulation of T cell proliferation			ISO	RGD:2046 	J:155856 	
MGI:99402	Adora2a	adenosine A2a receptor	10		negative regulation of alpha-beta T cell activation			IDA		J:142710 	
MGI:1929289	Adrm1	adhesion regulating molecule 1	2		regulation of T cell differentiation in thymus			IMP		J:166694 	
MGI:893592	Ager	advanced glycosylation end product-specific receptor	17		positive regulation of activated T cell proliferation			ISO	Q15109 	J:164563 	
MGI:893592	Ager	advanced glycosylation end product-specific receptor	17		regulation of CD4-positive, alpha-beta T cell activation			ISO	Q15109 	J:164563 	
MGI:1343098	Aif1	allograft inflammatory factor 1	17		positive regulation of T cell proliferation			ISO	P55008 	J:164563 	
MGI:1338803	Aire	autoimmune regulator (autoimmune polyendocrinopathy candidiasis ectodermal dystrophy)	10		negative thymic T cell selection			IBA	PTN002931439 	J:265628 	
MGI:1338803	Aire	autoimmune regulator (autoimmune polyendocrinopathy candidiasis ectodermal dystrophy)	10		negative thymic T cell selection	happens in medullary thymic epithelial cell		IGI	MGI:1277186 	J:196474 	
MGI:2443564	Ambra1	autophagy/beclin 1 regulator 1	2		positive regulation of regulatory T cell differentiation			IMP		J:306277 	
MGI:2443564	Ambra1	autophagy/beclin 1 regulator 1	2		positive regulation of regulatory T cell differentiation			ISO	Q9C0C7 	J:164563 	
MGI:1918775	Ankle1	ankyrin repeat and LEM domain containing 1	8	NOT	regulation of alpha-beta T cell differentiation			IMP		J:235782 	
MGI:1918775	Ankle1	ankyrin repeat and LEM domain containing 1	8	NOT	regulation of T cell differentiation in thymus			IMP		J:235782 	
MGI:96819	Anxa1	annexin A1	19		alpha-beta T cell differentiation			IBA	PTN002574794 	J:265628 	
MGI:96819	Anxa1	annexin A1	19		alpha-beta T cell differentiation			IMP		J:169943 	
MGI:96819	Anxa1	annexin A1	19		negative regulation of T-helper 2 cell differentiation			IBA	PTN002574794 	J:265628 	
MGI:96819	Anxa1	annexin A1	19		negative regulation of T-helper 2 cell differentiation			ISO	P04083 	J:164563 	
MGI:96819	Anxa1	annexin A1	19		positive regulation of T cell proliferation			IBA	PTN002574794 	J:265628 	
MGI:96819	Anxa1	annexin A1	19		positive regulation of T cell proliferation			ISO	P04083 	J:164563 	
MGI:96819	Anxa1	annexin A1	19		positive regulation of T-helper 1 cell differentiation			IBA	PTN002574794 	J:265628 	
MGI:96819	Anxa1	annexin A1	19		positive regulation of T-helper 1 cell differentiation			ISO	P04083 	J:164563 	
MGI:1333879	Ap3b1	adaptor-related protein complex 3, beta 1 subunit	13		positive regulation of NK T cell differentiation			IMP	MGI:1856989 	J:86243 	
MGI:107734	Ap3d1	adaptor-related protein complex 3, delta 1 subunit	10		positive regulation of NK T cell differentiation			IMP	MGI:1856083 	J:86243 	
MGI:1861354	Apbb1ip	amyloid beta (A4) precursor protein-binding, family B, member 1 interacting protein	2		T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell			IDA		J:122332 	
MGI:88039	Apc	APC, WNT signaling pathway regulator	18		T cell differentiation in thymus	happens in thymus		IMP	MGI:3589207 	J:100461 	
MGI:88070	Arg1	arginase, liver	10		negative regulation of activated T cell proliferation			IMP		J:243399 	
MGI:88070	Arg1	arginase, liver	10		negative regulation of T cell proliferation			ISO	P05089 	J:164563 	
MGI:1330806	Arg2	arginase type II	12		negative regulation of CD4-positive, alpha-beta T cell proliferation			IMP		J:243479 	
MGI:2384586	Armc5	armadillo repeat containing 5	7		CD4-positive, alpha-beta T cell differentiation	happens in CD4-positive, alpha-beta T cell,results in the development of T-helper 1 cell|results in the development of T-helper 17 cell,happens in CD4-positive, alpha-beta T cell		IMP	MGI:6098706 	J:244662 	
MGI:2384586	Armc5	armadillo repeat containing 5	7		T cell proliferation	happens in CD4-positive, alpha-beta T cell,results in the development of T-helper 1 cell|happens in CD4-positive, alpha-beta T cell,results in the development of T-helper 17 cell		IMP	MGI:6098706 	J:244662 	
MGI:109349	Atf2	activating transcription factor 2	2		NK T cell differentiation			IMP	MGI:3696689 	J:127589 	
MGI:1277186	Atg5	autophagy related 5	10		negative thymic T cell selection	happens in medullary thymic epithelial cell		IGI	MGI:1338803 	J:196474 	
MGI:1277186	Atg5	autophagy related 5	10		negative thymic T cell selection	happens in medullary thymic epithelial cell		IMP	MGI:3612279 	J:196474 	
MGI:99400	Atp7a	ATPase, Cu++ transporting, alpha polypeptide	X		T-helper cell differentiation	results in the differentiation of CD4-positive helper T cell		IMP	MGI:1856466 	J:13154 	
MGI:1351332	Azi2	5-azacytidine induced gene 2	9		T cell activation			IDA		J:204786 	
MGI:1351332	Azi2	5-azacytidine induced gene 2	9		T cell activation			IMP	MGI:5544312 	J:204786 	
MGI:88127	B2m	beta-2 microglobulin	2		positive regulation of T cell activation			IBA	PTN000460629 	J:265628 	
MGI:88127	B2m	beta-2 microglobulin	2		T cell differentiation in thymus			IGI	MGI:95663 	J:141145 	
MGI:1096330	Bad	BCL2-associated agonist of cell death	19		positive regulation of T cell differentiation			IMP	MGI:3029528 	J:88139 	
MGI:1859147	Batf	basic leucine zipper transcription factor, ATF-like	12		T-helper 17 cell differentiation			IMP		J:160935 J:172119 	
MGI:1859147	Batf	basic leucine zipper transcription factor, ATF-like	12		T-helper 17 cell lineage commitment			IMP		J:150643 J:190118 	
MGI:1859147	Batf	basic leucine zipper transcription factor, ATF-like	12		T-helper 2 cell differentiation			IMP		J:160935 J:172119 	
MGI:99702	Bax	BCL2-associated X protein	7		T cell homeostatic proliferation	affects a population of common lymphoid progenitor		IMP	MGI:1857429 	J:42051 	
MGI:99702	Bax	BCL2-associated X protein	7		T cell homeostatic proliferation			IMP	MGI:1857429 	J:29253 	
MGI:88138	Bcl2	B cell leukemia/lymphoma 2	1		CD8-positive, alpha-beta T cell lineage commitment	happens in bone marrow,results in a cell's commitment to CD8-positive, alpha-beta T cell|happens in thymus,results in a cell's commitment to CD8-positive, alpha-beta T cell|happens in spleen,results in a cell's commitment to CD8-positive, alpha-beta T cell|happens in lymph node,results in a cell's commitment to CD8-positive, alpha-beta T cell		IMP	MGI:2156165 	J:73660 	
MGI:88138	Bcl2	B cell leukemia/lymphoma 2	1		T cell differentiation			IGI	MGI:96562 	J:41239 	
MGI:88138	Bcl2	B cell leukemia/lymphoma 2	1		T cell differentiation	results in the differentiation of T cell		IMP	MGI:2156165 	J:73660 	
MGI:88138	Bcl2	B cell leukemia/lymphoma 2	1		T cell differentiation in thymus	happens in thymus,results in the differentiation of T cell		IMP	MGI:2156165 	J:73660 	
MGI:88138	Bcl2	B cell leukemia/lymphoma 2	1		T cell differentiation in thymus			IMP	MGI:2156165 	J:38087 	
MGI:88138	Bcl2	B cell leukemia/lymphoma 2	1		T cell lineage commitment	happens in spleen,happens in T cell		IMP	MGI:2156165 	J:31364 	
MGI:1278325	Bcl2a1d	B cell leukemia/lymphoma 2 related protein A1d	9		T cell differentiation			IMP		J:96628 	
MGI:88140	Bcl3	B cell leukemia/lymphoma 3	7		T-helper 2 cell differentiation	results in the differentiation of T-helper 2 cell		IMP	MGI:2158443 	J:107516 	
MGI:107187	Bcl6	B cell leukemia/lymphoma 6	16		negative regulation of T-helper 2 cell differentiation	regulates the differentiation of T-helper 2 cell		IGI	MGI:96559 	J:81987 	
MGI:107187	Bcl6	B cell leukemia/lymphoma 6	16		positive regulation of regulatory T cell differentiation			ISO	P41182 	J:164563 	
MGI:107187	Bcl6	B cell leukemia/lymphoma 6	16		regulation of memory T cell differentiation	regulates the differentiation of memory T cell		IMP	MGI:2158436 	J:91924 	
MGI:1337994	Bcl10	B cell leukemia/lymphoma 10	3		positive regulation of T cell activation			IMP	MGI:2158304 	J:109545 	
MGI:106190	Bcl11a	B cell CLL/lymphoma 11A (zinc finger protein)	11		T cell differentiation			IMP	MGI:2663941 	J:83646 	
MGI:1929913	Bcl11b	B cell leukemia/lymphoma 11B	12		alpha-beta T cell differentiation	results in the differentiation of alpha-beta T cell		IMP	MGI:2663971 	J:83651 	
MGI:1929913	Bcl11b	B cell leukemia/lymphoma 11B	12		positive T cell selection	has the participant double-positive, alpha-beta thymocyte		IMP	MGI:3767620 	J:128515 	
MGI:1929913	Bcl11b	B cell leukemia/lymphoma 11B	12		T cell differentiation in thymus	results in the differentiation of thymocyte		IMP	MGI:2663971 	J:131680 	
MGI:1929913	Bcl11b	B cell leukemia/lymphoma 11B	12		T cell receptor V(D)J recombination	happens in thymus,happens in T cell		IMP	MGI:2663971 	J:83651 	
MGI:1328362	Blm	Bloom syndrome, RecQ like helicase	7		alpha-beta T cell differentiation	happens in thymus,results in the differentiation of DN4 thymocyte		IMP	MGI:3053044 MGI:3663359 	J:118992 	
MGI:1328362	Blm	Bloom syndrome, RecQ like helicase	7		positive regulation of alpha-beta T cell proliferation	regulates a function/process that happens in thymus,regulates the proliferation of DN4 thymocyte|regulates a function/process that happens in thymus,regulates the proliferation of DN3 thymocyte		IMP	MGI:3053044 MGI:3663359 	J:118992 	
MGI:88174	Bmi1	Bmi1 polycomb ring finger oncogene	2		positive regulation of immature T cell proliferation in thymus			IMP		J:105559 	
MGI:88180	Bmp4	bone morphogenetic protein 4	14		negative regulation of immature T cell proliferation in thymus			ISO	P12644 	J:164563 	
MGI:88180	Bmp4	bone morphogenetic protein 4	14		negative regulation of T cell differentiation in thymus			ISO	P12644 	J:164563 	
MGI:88190	Braf	Braf transforming gene	6		alpha-beta T cell differentiation	results in the differentiation of double-positive, alpha-beta thymocyte		IMP	MGI:3711006 	J:194392 	
MGI:88190	Braf	Braf transforming gene	6		CD4-positive or CD8-positive, alpha-beta T cell lineage commitment			IMP	MGI:1857579 	J:131579 	
MGI:88190	Braf	Braf transforming gene	6		CD4-positive, alpha-beta T cell differentiation			IMP	MGI:3711006 	J:194392 	
MGI:88190	Braf	Braf transforming gene	6		positive T cell selection			IMP	MGI:3711006 	J:194392 	
MGI:88190	Braf	Braf transforming gene	6		regulation of T cell differentiation			IMP	MGI:1857579 	J:131579 	
MGI:2658978	Btla	B and T lymphocyte associated	16		negative regulation of alpha-beta T cell proliferation			IMP	MGI:3027713 	J:94873 	
MGI:2658978	Btla	B and T lymphocyte associated	16		negative regulation of T cell proliferation			IMP	MGI:3027713 	J:84084 	
MGI:103118	Btn1a1	butyrophilin, subfamily 1, member A1	13		negative regulation of activated T cell proliferation			IDA		J:160063 	
MGI:3606486	Btn2a2	butyrophilin, subfamily 2, member A2	13		negative regulation of activated T cell proliferation			IDA		J:160063 J:202549 	
MGI:3606486	Btn2a2	butyrophilin, subfamily 2, member A2	13		positive regulation of regulatory T cell differentiation			IDA		J:202549 	
MGI:1932027	Btnl1	butyrophilin-like 1	17		extrathymic T cell selection	happens in gut epithelium,has the participant Btnl6,generates gamma-delta intraepithelial T cell		IGI	MGI:1932038 	J:236526 	
MGI:1932027	Btnl1	butyrophilin-like 1	17		extrathymic T cell selection	happens in gut epithelium,has the participant Btnl6,generates gamma-delta intraepithelial T cell		IMP		J:236526 	
MGI:1859549	Btnl2	butyrophilin-like 2	17		positive regulation of T cell proliferation			IMP		J:132222 	
MGI:1932038	Btnl6	butyrophilin-like 6	17		extrathymic T cell selection	happens in gut epithelium,has the participant Btnl1,generates gamma-delta intraepithelial T cell		IGI	MGI:1932027 	J:236526 	
MGI:103301	Cacnb4	calcium channel, voltage-dependent, beta 4 subunit	2	NOT	T cell differentiation	happens in thymus,results in the differentiation of T cell		IMP	MGI:1856936 	J:115345 	
MGI:1916978	Card11	caspase recruitment domain family, member 11	5		positive regulation of T cell activation	regulates a function/process that happens in CD4-positive, alpha-beta T cell		IMP	MGI:3039682 	J:89322 	
MGI:1916978	Card11	caspase recruitment domain family, member 11	5		positive regulation of T cell proliferation	regulates the proliferation of CD4-positive, alpha-beta T cell		IMP	MGI:3039682 	J:89322 	
MGI:1916978	Card11	caspase recruitment domain family, member 11	5		regulation of T cell differentiation			IMP	MGI:3039682 	J:89322 	
MGI:1916978	Card11	caspase recruitment domain family, member 11	5		T cell activation			IMP	MGI:3045950 	J:84036 	
MGI:1916978	Card11	caspase recruitment domain family, member 11	5		T cell costimulation			ISO	Q9BXL7 	J:164563 	
MGI:1916978	Card11	caspase recruitment domain family, member 11	5		thymic T cell selection	has the participant CD4-positive, alpha-beta T cell		IMP	MGI:3039682 	J:89322 	
MGI:2685431	Carmil2	capping protein regulator and myosin 1 linker 2	8		positive regulation of regulatory T cell differentiation			IMP	MGI:4462559 MGI:5547539 	J:205441 	
MGI:2685431	Carmil2	capping protein regulator and myosin 1 linker 2	8		positive regulation of T cell proliferation			IMP	MGI:5547539 	J:205441 	
MGI:107739	Casp3	caspase 3	8		negative regulation of activated T cell proliferation			IMP	MGI:2178778 	J:85809 	
MGI:102709	Cav1	caveolin 1, caveolae protein	6		T cell costimulation			ISO	Q03135 	J:164563 	
MGI:99851	Cbfb	core binding factor beta	8		negative regulation of CD4-positive, alpha-beta T cell differentiation			IMP		J:131081 	
MGI:99851	Cbfb	core binding factor beta	8		positive regulation of CD8-positive, alpha-beta T cell differentiation			IMP		J:131081 	
MGI:2146430	Cblb	Casitas B-lineage lymphoma b	16		negative regulation of alpha-beta T cell proliferation	regulates the proliferation of CD4-positive, alpha-beta T cell		IMP	MGI:2180572 	J:89097 	
MGI:2146430	Cblb	Casitas B-lineage lymphoma b	16		T cell activation	has the participant T cell		IMP	MGI:2180570 	J:79550 	
MGI:1925567	Ccdc88b	coiled-coil domain containing 88B	19		positive regulation of T cell activation			IMP		J:230618 	
MGI:1925567	Ccdc88b	coiled-coil domain containing 88B	19		positive regulation of T cell proliferation			IMP		J:230618 	
MGI:98259	Ccl2	chemokine (C-C motif) ligand 2	11		positive regulation of T cell activation			IMP		J:118487 	
MGI:98262	Ccl5	chemokine (C-C motif) ligand 5	11		positive regulation of T cell proliferation			ISO	P13501 	J:164563 	
MGI:98262	Ccl5	chemokine (C-C motif) ligand 5	11		regulation of T cell activation			ISO	P13501 	J:164563 	
MGI:1346316	Ccl19	chemokine (C-C motif) ligand 19	4		establishment of T cell polarity			ISO	Q99731 	J:164563 	
MGI:1346316	Ccl19	chemokine (C-C motif) ligand 19	4		positive regulation of T cell proliferation			IDA		J:97971 	
MGI:1346316	Ccl19	chemokine (C-C motif) ligand 19	4		positive regulation of T-helper 1 cell differentiation			IDA		J:97971 	
MGI:1346316	Ccl19	chemokine (C-C motif) ligand 19	4		T cell costimulation			IDA		J:97971 	
MGI:1329031	Ccl20	chemokine (C-C motif) ligand 20	1	NOT	regulation of T-helper 17 cell differentiation			IDA		J:142071 	
MGI:1349183	Ccl21a	chemokine (C-C motif) ligand 21A (serine)	4		establishment of T cell polarity			ISO	O00585 	J:164563 	
MGI:1349183	Ccl21a	chemokine (C-C motif) ligand 21A (serine)	4		T cell costimulation			IDA		J:97971 	
MGI:1349182	Ccl21b	chemokine (C-C motif) ligand 21B (leucine)	4		establishment of T cell polarity			ISO	O00585 	J:164563 	
MGI:1891386	Ccl21c	chemokine (C-C motif) ligand 21C (leucine)	4		establishment of T cell polarity			ISO	O00585 	J:164563 	
MGI:88315	Ccnd3	cyclin D3	17		T cell proliferation			IMP	MGI:2448172 	J:88120 	
MGI:106185	Ccr2	chemokine (C-C motif) receptor 2	9		positive regulation of alpha-beta T cell proliferation			IMP		J:118487 	
MGI:106185	Ccr2	chemokine (C-C motif) receptor 2	9		positive regulation of T cell activation			IMP		J:118487 	
MGI:106185	Ccr2	chemokine (C-C motif) receptor 2	9		positive regulation of T-helper 1 cell differentiation			IC	GO:0032729 	J:118487 	
MGI:106185	Ccr2	chemokine (C-C motif) receptor 2	9		regulation of T cell differentiation			IMP		J:247722 	
MGI:1333797	Ccr6	chemokine (C-C motif) receptor 6	17		DN2 thymocyte differentiation			IMP		J:233563 	
MGI:1333797	Ccr6	chemokine (C-C motif) receptor 6	17		DN3 thymocyte differentiation			IMP		J:233563 	
MGI:1333797	Ccr6	chemokine (C-C motif) receptor 6	17	NOT	regulation of T-helper 17 cell differentiation			IMP		J:142071 	
MGI:103011	Ccr7	chemokine (C-C motif) receptor 7	11		establishment of T cell polarity			TAS		J:175178 	
MGI:103011	Ccr7	chemokine (C-C motif) receptor 7	11		negative thymic T cell selection			IMP		J:149099 	
MGI:103011	Ccr7	chemokine (C-C motif) receptor 7	11		positive regulation of T cell costimulation			IMP		J:97971 	
MGI:103011	Ccr7	chemokine (C-C motif) receptor 7	11		positive regulation of T cell proliferation			IC	GO:0016493 	J:97971 	
MGI:103011	Ccr7	chemokine (C-C motif) receptor 7	11		positive regulation of T-helper 1 cell differentiation			IC	GO:0016493 	J:97971 	
MGI:1341902	Ccr9	chemokine (C-C motif) receptor 9	9		CD8-positive, gamma-delta intraepithelial T cell differentiation			IMP	MGI:3654108 	J:219661 	
MGI:107674	Cd1d1	CD1d1 antigen	3		NK T cell differentiation			IMP		J:39748 	
MGI:107674	Cd1d1	CD1d1 antigen	3		positive regulation of NK T cell activation			IDA		J:25159 J:76976 J:89707 	
MGI:107674	Cd1d1	CD1d1 antigen	3		positive regulation of NK T cell differentiation			IMP	MGI:2180711 	J:39748 	
MGI:107674	Cd1d1	CD1d1 antigen	3		positive regulation of NK T cell differentiation			IMP	MGI:2180713 	J:76976 	
MGI:107674	Cd1d1	CD1d1 antigen	3		positive regulation of T cell proliferation			ISO	P15813 	J:164563 	
MGI:107674	Cd1d1	CD1d1 antigen	3		positive thymic T cell selection			IMP	MGI:2180711 	J:39748 	
MGI:107674	Cd1d1	CD1d1 antigen	3		regulation of immature T cell proliferation in thymus			IMP		J:125679 	
MGI:107675	Cd1d2	CD1d2 antigen	3		positive regulation of NK T cell activation			IDA		J:76976 	
MGI:88320	Cd2	CD2 antigen	3		T cell activation			IBA	PTN001382715 	J:265628 	
MGI:88320	Cd2	CD2 antigen	3		T cell activation			ISO	RGD:2297 	J:155856 	
MGI:88331	Cd3d	CD3 antigen, delta polypeptide	9		positive thymic T cell selection			IBA	PTN000060280 	J:265628 	
MGI:88331	Cd3d	CD3 antigen, delta polypeptide	9		positive thymic T cell selection			IMP		J:39925 	
MGI:88331	Cd3d	CD3 antigen, delta polypeptide	9		T cell activation			NAS		J:113952 	
MGI:88332	Cd3e	CD3 antigen, epsilon polypeptide	9		negative thymic T cell selection	has the participant thymus,has the participant T cell		IDA		J:27768 	
MGI:88332	Cd3e	CD3 antigen, epsilon polypeptide	9		positive regulation of alpha-beta T cell proliferation	regulates the proliferation of T-helper 1 cell		IDA		J:89097 	
MGI:88332	Cd3e	CD3 antigen, epsilon polypeptide	9		positive regulation of alpha-beta T cell proliferation	regulates the proliferation of CD4-positive, alpha-beta T cell		IDA		J:17350 J:75401 	
MGI:88332	Cd3e	CD3 antigen, epsilon polypeptide	9		positive regulation of T cell activation	regulates a function/process that happens in T cell		IDA		J:142709 	
MGI:88332	Cd3e	CD3 antigen, epsilon polypeptide	9		positive regulation of T cell proliferation	regulates the proliferation of T cell		IDA		J:53400 J:92334 J:98326 J:142709 	
MGI:88332	Cd3e	CD3 antigen, epsilon polypeptide	9		positive regulation of T cell proliferation			ISO	RGD:1309222 	J:155856 	
MGI:88332	Cd3e	CD3 antigen, epsilon polypeptide	9		positive regulation of T cell proliferation			ISO	P07766 	J:164563 	
MGI:88332	Cd3e	CD3 antigen, epsilon polypeptide	9		positive thymic T cell selection			IBA	PTN000060280 	J:265628 	
MGI:88332	Cd3e	CD3 antigen, epsilon polypeptide	9		T cell costimulation			IGI	MGI:88327 	J:205441 	
MGI:88333	Cd3g	CD3 antigen, gamma polypeptide	9		positive thymic T cell selection			IBA	PTN000060280 	J:265628 	
MGI:88335	Cd4	CD4 antigen	6		positive regulation of T cell activation	regulates a function/process that happens in T cell		IDA		J:80063 	
MGI:88335	Cd4	CD4 antigen	6		positive regulation of T cell proliferation			ISO	RGD:2306 	J:155856 	
MGI:88335	Cd4	CD4 antigen	6		regulation of T cell activation			ISO	P01730 	J:164563 	
MGI:88335	Cd4	CD4 antigen	6		T cell activation			IBA	PTN002605579 	J:265628 	
MGI:88335	Cd4	CD4 antigen	6		T cell activation			ISO	RGD:2306 	J:155856 	
MGI:88335	Cd4	CD4 antigen	6		T cell differentiation			ISO	P01730 	J:164563 	
MGI:88335	Cd4	CD4 antigen	6		T cell differentiation			ISS	P01730 	J:113701 	
MGI:88335	Cd4	CD4 antigen	6		T cell selection			ISO	P01730 	J:164563 	
MGI:88335	Cd4	CD4 antigen	6		T cell selection			ISS	P01730 	J:45168 	
MGI:88340	Cd5	CD5 antigen	19		T cell costimulation			IBA	PTN002499882 	J:265628 	
MGI:88340	Cd5	CD5 antigen	19		T cell costimulation			IDA		J:56164 	
MGI:103566	Cd6	CD6 antigen	19		positive regulation of T cell proliferation			ISO	P30203 	J:164563 	
MGI:88346	Cd8a	CD8 antigen, alpha chain	6		cytotoxic T cell differentiation			IBA	PTN000047644 	J:265628 	
MGI:88346	Cd8a	CD8 antigen, alpha chain	6		cytotoxic T cell differentiation			IMP	MGI:1857149 	J:68956 	
MGI:88346	Cd8a	CD8 antigen, alpha chain	6		T cell activation			ISO	RGD:2316 	J:155856 	
MGI:88346	Cd8a	CD8 antigen, alpha chain	6		T cell activation			ISO	P01732 	J:164563 	
MGI:88323	Cd24a	CD24a antigen	10		negative regulation of T cell homeostatic proliferation			IMP	MGI:2179996 	J:124399 	
MGI:88323	Cd24a	CD24a antigen	10		positive regulation of activated T cell proliferation			ISO	P25063 	J:164563 	
MGI:88323	Cd24a	CD24a antigen	10		positive regulation of activated T cell proliferation			ISS	P25063 	J:125628 	
MGI:88323	Cd24a	CD24a antigen	10		positive regulation of alpha-beta T cell proliferation	regulates the proliferation of CD4-positive, alpha-beta T cell		IDA		J:17350 	
MGI:88323	Cd24a	CD24a antigen	10		positive regulation of alpha-beta T cell proliferation			IDA		J:125135 J:125147 	
MGI:88323	Cd24a	CD24a antigen	10		positive regulation of alpha-beta T cell proliferation	regulates the proliferation of CD4-positive, alpha-beta T cell		IMP	MGI:2179996 	J:93933 	
MGI:88323	Cd24a	CD24a antigen	10		positive regulation of alpha-beta T cell proliferation			IMP	MGI:2179996 	J:125135 	
MGI:88323	Cd24a	CD24a antigen	10		positive regulation of alpha-beta T cell proliferation			IMP		J:125143 J:125145 	
MGI:88323	Cd24a	CD24a antigen	10		positive regulation of T cell homeostatic proliferation	regulates the proliferation of T cell		IMP	MGI:2179996 	J:93953 	
MGI:88323	Cd24a	CD24a antigen	10		T cell costimulation			ISO	P25063 	J:164563 	
MGI:88323	Cd24a	CD24a antigen	10		T cell costimulation			ISS	P25063 	J:125628 	
MGI:88326	Cd27	CD27 antigen	6		positive regulation of T cell differentiation			NAS		J:73129 	
MGI:88327	Cd28	CD28 antigen	1		negative thymic T cell selection	has the participant thymus		IMP	MGI:1857150 	J:56164 	
MGI:88327	Cd28	CD28 antigen	1		positive regulation of alpha-beta T cell proliferation	regulates the proliferation of T-helper 1 cell		IDA		J:89097 	
MGI:88327	Cd28	CD28 antigen	1		positive regulation of alpha-beta T cell proliferation	regulates the proliferation of CD4-positive, alpha-beta T cell		IDA		J:17350 J:125135 	
MGI:88327	Cd28	CD28 antigen	1		positive regulation of alpha-beta T cell proliferation	regulates the proliferation of CD4-positive, alpha-beta T cell		IMP	MGI:1857150 	J:125135 	
MGI:88327	Cd28	CD28 antigen	1		positive regulation of T cell proliferation			IBA	PTN000161013 	J:265628 	
MGI:88327	Cd28	CD28 antigen	1		positive regulation of T cell proliferation	regulates the proliferation of CL:0000084		IDA		J:84973 	
MGI:88327	Cd28	CD28 antigen	1		positive regulation of T cell proliferation	regulates the proliferation of T cell		IDA		J:91914 	
MGI:88327	Cd28	CD28 antigen	1		positive regulation of T cell proliferation			IDA		J:89322 	
MGI:88327	Cd28	CD28 antigen	1		positive regulation of T cell proliferation	regulates the proliferation of T cell		IMP	MGI:1857150 	J:14194 J:120498 	
MGI:88327	Cd28	CD28 antigen	1		positive regulation of T cell proliferation			ISO	P10747 	J:164563 	
MGI:88327	Cd28	CD28 antigen	1		regulation of regulatory T cell differentiation			IGI	MGI:96756 MGI:98725 	J:170513 	
MGI:88327	Cd28	CD28 antigen	1		regulation of T cell proliferation			IEA	IPR040216 	J:72247 	
MGI:88327	Cd28	CD28 antigen	1		regulatory T cell differentiation			ISO	P10747 	J:164563 	
MGI:88327	Cd28	CD28 antigen	1		T cell activation			IBA	PTN000161013 	J:265628 	
MGI:88327	Cd28	CD28 antigen	1		T cell activation			ISO	RGD:2299 	J:155856 	
MGI:88327	Cd28	CD28 antigen	1		T cell activation			ISO	P10747 	J:164563 	
MGI:88327	Cd28	CD28 antigen	1		T cell costimulation			IBA	PTN000161013 	J:265628 	
MGI:88327	Cd28	CD28 antigen	1		T cell costimulation	has the participant T cell		IDA		J:84973 J:91914 	
