MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:98262	Ccl5	chemokine (C-C motif) ligand 5	11		positive regulation of T cell proliferation			ISO	P13501 	J:164563 	
MGI:1346316	Ccl19	chemokine (C-C motif) ligand 19	4		positive regulation of T cell proliferation			IDA		J:97971 	
MGI:88315	Ccnd3	cyclin D3	17		T cell proliferation			IMP	MGI:2448172 	J:88120 	
MGI:106185	Ccr2	chemokine (C-C motif) receptor 2	9		positive regulation of alpha-beta T cell proliferation			IMP		J:118487 	
MGI:103011	Ccr7	chemokine (C-C motif) receptor 7	11		positive regulation of T cell proliferation			IC	GO:0016493 	J:97971 	
MGI:107674	Cd1d1	CD1d1 antigen	3		positive regulation of T cell proliferation			ISO	P15813 	J:164563 	
MGI:107674	Cd1d1	CD1d1 antigen	3		regulation of immature T cell proliferation in thymus			IMP		J:125679 	
MGI:88332	Cd3e	CD3 antigen, epsilon polypeptide	9		positive regulation of alpha-beta T cell proliferation	regulates the proliferation of T-helper 1 cell		IDA		J:89097 	
MGI:88332	Cd3e	CD3 antigen, epsilon polypeptide	9		positive regulation of alpha-beta T cell proliferation	regulates the proliferation of CD4-positive, alpha-beta T cell		IDA		J:17350 J:75401 	
MGI:88332	Cd3e	CD3 antigen, epsilon polypeptide	9		positive regulation of T cell proliferation	regulates the proliferation of T cell		IDA		J:53400 J:92334 J:98326 J:142709 	
MGI:88332	Cd3e	CD3 antigen, epsilon polypeptide	9		positive regulation of T cell proliferation			ISO	RGD:1309222 	J:155856 	
MGI:88332	Cd3e	CD3 antigen, epsilon polypeptide	9		positive regulation of T cell proliferation			ISO	P07766 	J:164563 	
MGI:88335	Cd4	CD4 antigen	6		positive regulation of T cell proliferation			ISO	RGD:2306 	J:155856 	
MGI:103566	Cd6	CD6 antigen	19		positive regulation of T cell proliferation			ISO	P30203 	J:164563 	
MGI:88323	Cd24a	CD24a antigen	10		negative regulation of T cell homeostatic proliferation			IMP	MGI:2179996 	J:124399 	
MGI:88323	Cd24a	CD24a antigen	10		positive regulation of activated T cell proliferation			ISO	P25063 	J:164563 	
MGI:88323	Cd24a	CD24a antigen	10		positive regulation of activated T cell proliferation			ISS	P25063 	J:125628 	
MGI:88323	Cd24a	CD24a antigen	10		positive regulation of alpha-beta T cell proliferation	regulates the proliferation of CD4-positive, alpha-beta T cell		IDA		J:17350 	
MGI:88323	Cd24a	CD24a antigen	10		positive regulation of alpha-beta T cell proliferation			IDA		J:125135 J:125147 	
MGI:88323	Cd24a	CD24a antigen	10		positive regulation of alpha-beta T cell proliferation	regulates the proliferation of CD4-positive, alpha-beta T cell		IMP	MGI:2179996 	J:93933 	
MGI:88323	Cd24a	CD24a antigen	10		positive regulation of alpha-beta T cell proliferation			IMP	MGI:2179996 	J:125135 	
MGI:88323	Cd24a	CD24a antigen	10		positive regulation of alpha-beta T cell proliferation			IMP		J:125143 J:125145 	
MGI:88323	Cd24a	CD24a antigen	10		positive regulation of T cell homeostatic proliferation	regulates the proliferation of T cell		IMP	MGI:2179996 	J:93953 	
MGI:88327	Cd28	CD28 antigen	1		positive regulation of alpha-beta T cell proliferation	regulates the proliferation of T-helper 1 cell		IDA		J:89097 	
MGI:88327	Cd28	CD28 antigen	1		positive regulation of alpha-beta T cell proliferation	regulates the proliferation of CD4-positive, alpha-beta T cell		IDA		J:17350 J:125135 	
MGI:88327	Cd28	CD28 antigen	1		positive regulation of alpha-beta T cell proliferation	regulates the proliferation of CD4-positive, alpha-beta T cell		IMP	MGI:1857150 	J:125135 	
MGI:88327	Cd28	CD28 antigen	1		positive regulation of T cell proliferation			IBA	PTN000161013 	J:265628 	
MGI:88327	Cd28	CD28 antigen	1		positive regulation of T cell proliferation	regulates the proliferation of T cell		IDA		J:84973 J:91914 	
MGI:88327	Cd28	CD28 antigen	1		positive regulation of T cell proliferation			IDA		J:89322 	
MGI:88327	Cd28	CD28 antigen	1		positive regulation of T cell proliferation	regulates the proliferation of T cell		IMP	MGI:1857150 	J:14194 J:120498 	
MGI:88327	Cd28	CD28 antigen	1		positive regulation of T cell proliferation			ISO	P10747 	J:164563 	
MGI:88327	Cd28	CD28 antigen	1		regulation of T cell proliferation			IEA	IPR040216 	J:72247 	
MGI:88337	Cd40lg	CD40 ligand	X		positive regulation of T cell proliferation			ISO	P29965 	J:164563 	
MGI:88338	Cd44	CD44 antigen	2		negative regulation of CD4-positive, alpha-beta T cell proliferation			IMP		J:224716 	
MGI:1203290	Cd46	CD46 antigen, complement regulatory protein	1		positive regulation of T cell proliferation			ISO	P15529 	J:164563 	
MGI:104850	Cd55	CD55 molecule, decay accelerating factor for complement	1		positive regulation of CD4-positive, alpha-beta T cell proliferation			ISO	P08174 	J:164563 	
MGI:104849	Cd55b	CD55 molecule, decay accelerating factor for complement B	1		positive regulation of CD4-positive, alpha-beta T cell proliferation			ISO	P08174 	J:164563 	
MGI:109177	Cd59a	CD59a antigen	2		positive regulation of T cell proliferation			ISO	RGD:2311 	J:155856 	
MGI:1888996	Cd59b	CD59b antigen	2		positive regulation of T cell proliferation			ISO	RGD:2311 	J:155856 	
MGI:101775	Cd80	CD80 antigen	16		negative regulation of T cell proliferation			IBA	PTN002402215 	J:265628 	
MGI:101775	Cd80	CD80 antigen	16		positive regulation of alpha-beta T cell proliferation			IDA		J:125145 	
MGI:101775	Cd80	CD80 antigen	16		positive regulation of T cell proliferation			IBA	PTN002402215 	J:265628 	
MGI:101775	Cd80	CD80 antigen	16		positive regulation of T cell proliferation			IGI	MGI:101773 	J:205441 	
MGI:101775	Cd80	CD80 antigen	16		positive regulation of T cell proliferation			ISO	RGD:2314 	J:155856 	
MGI:1096398	Cd81	CD81 antigen	7		positive regulation of CD4-positive, alpha-beta T cell proliferation			ISO	P60033 	J:164563 	
MGI:101773	Cd86	CD86 antigen	16		negative regulation of T cell proliferation			IBA	PTN002402215 	J:265628 	
MGI:101773	Cd86	CD86 antigen	16		positive regulation of activated T cell proliferation			ISO	RGD:628714 	J:155856 	
MGI:101773	Cd86	CD86 antigen	16		positive regulation of T cell proliferation			IBA	PTN002402215 	J:265628 	
MGI:101773	Cd86	CD86 antigen	16		positive regulation of T cell proliferation			IGI	MGI:101775 	J:205441 	
MGI:101773	Cd86	CD86 antigen	16		positive regulation of T cell proliferation			ISO	RGD:628714 	J:155856 	
MGI:1096360	Cd151	CD151 antigen	7		T cell proliferation			IMP	MGI:3050539 	J:91605 	
MGI:2157942	Cd209a	CD209a antigen	8		regulation of T cell proliferation			ISO	Q9NNX6 	J:73065 	
MGI:109294	Cd244a	CD244 molecule A	1		positive regulation of CD8-positive, alpha-beta T cell proliferation			IMP		J:227396 	
MGI:1926446	Cd274	CD274 antigen	19		negative regulation of activated T cell proliferation			ISO	Q9NZQ7 	J:164563 	
MGI:1926446	Cd274	CD274 antigen	19		negative regulation of CD4-positive, alpha-beta T cell proliferation			ISO	Q9NZQ7 	J:164563 	
MGI:1926446	Cd274	CD274 antigen	19		negative regulation of T cell proliferation			IBA	PTN002402215 	J:265628 	
MGI:1926446	Cd274	CD274 antigen	19		negative regulation of T cell proliferation			IDA		J:114496 	
MGI:1926446	Cd274	CD274 antigen	19		positive regulation of T cell proliferation			IBA	PTN002402215 	J:265628 	
MGI:1926446	Cd274	CD274 antigen	19		positive regulation of T cell proliferation			ISO	RGD:1566211 	J:155856 	
MGI:2183926	Cd276	CD276 antigen	9		negative regulation of T cell proliferation	regulates the proliferation of T cell		IDA		J:84973 	
MGI:2183926	Cd276	CD276 antigen	9		negative regulation of T cell proliferation	regulates the proliferation of T cell		IMP	MGI:3033707 	J:84973 	
MGI:2183926	Cd276	CD276 antigen	9		positive regulation of T cell proliferation			IMP		J:132222 	
MGI:2183926	Cd276	CD276 antigen	9		positive regulation of T cell proliferation			ISO	Q5ZPR3 	J:164563 	
MGI:104738	Cdkn2a	cyclin dependent kinase inhibitor 2A	4		negative regulation of immature T cell proliferation in thymus			IMP		J:105559 	
MGI:1347245	Ceacam1	carcinoembryonic antigen-related cell adhesion molecule 1	7		negative regulation of T cell proliferation		PR:000044463	IMP	MGI:3695215 	J:116136 	
MGI:1347245	Ceacam1	carcinoembryonic antigen-related cell adhesion molecule 1	7		negative regulation of T cell proliferation	happens in T cell,happens in spleen	PR:000044463	IMP	MGI:3695215 	J:190980 	
MGI:1347245	Ceacam1	carcinoembryonic antigen-related cell adhesion molecule 1	7		negative regulation of T cell proliferation	happens in T cell	PR:P31809-1	IMP		J:116136 	
MGI:1347245	Ceacam1	carcinoembryonic antigen-related cell adhesion molecule 1	7		negative regulation of T cell proliferation	happens in T cell		IMP		J:116136 	
MGI:1347245	Ceacam1	carcinoembryonic antigen-related cell adhesion molecule 1	7		positive regulation of CD4-positive, alpha-beta T cell proliferation	happens in effector memory CD4-positive, alpha-beta T cell,happens in spleen	PR:000044465	IMP	MGI:3053071 MGI:5609428 	J:190980 	
MGI:1347245	Ceacam1	carcinoembryonic antigen-related cell adhesion molecule 1	7		positive regulation of T cell proliferation	happens in T cell,happens in spleen	PR:000044465	IMP	MGI:5609428 	J:190980 	
MGI:88373	Cebpb	CCAAT/enhancer binding protein (C/EBP), beta	2		negative regulation of T cell proliferation			IDA		J:131157 	
MGI:2136650	Clec2i	C-type lectin domain family 2, member i	6		regulation of T cell proliferation			IMP		J:107956 	
MGI:1923113	Clec4g	C-type lectin domain family 4, member g	8		negative regulation of T cell proliferation			IDA		J:200968 	
MGI:1923113	Clec4g	C-type lectin domain family 4, member g	8		negative regulation of T cell proliferation	regulates the proliferation of CD8-positive, alpha-beta thymocyte		IMP	MGI:5510586 	J:194891 	
MGI:1345961	Coro1a	coronin, actin binding protein 1A	7		positive regulation of T cell proliferation	regulates the proliferation of T cell		IMP		J:131363 	
MGI:2152434	Crip3	cysteine-rich protein 3	17		T cell proliferation			IMP	MGI:2445952 	J:72942 	
MGI:1859822	Crtam	cytotoxic and regulatory T cell molecule	9		negative regulation of activated T cell proliferation			IMP		J:145314 	
MGI:88556	Ctla4	cytotoxic T-lymphocyte-associated protein 4	1		regulation of T cell proliferation			IEA	IPR040216 	J:72247 	
MGI:88276	Ctnnb1	catenin (cadherin associated protein), beta 1	9		regulation of T cell proliferation	regulates the proliferation of T cell		IMP	MGI:2148594 MGI:2448686 	J:86605 	
MGI:1858304	Ctps	cytidine 5'-triphosphate synthase	4		T cell proliferation			ISO	P17812 	J:164563 	
MGI:103556	Cxcl12	chemokine (C-X-C motif) ligand 12	6		T cell proliferation	affects a population of T cell		IMP	MGI:1934384 	J:82996 	
MGI:109563	Cxcr4	chemokine (C-X-C motif) receptor 4	1		T cell proliferation	affects a population of T cell		IMP	MGI:1934442 	J:82996 	
MGI:2683592	Dhps	deoxyhypusine synthase	8		positive regulation of T cell proliferation			IMP		J:207229 	
MGI:107231	Dlg1	discs large MAGUK scaffold protein 1	16		negative regulation of T cell proliferation	regulates the proliferation of T cell		IMP	MGI:3699270 	J:129078 	
MGI:1918478	Dlg5	discs large MAGUK scaffold protein 5	14		negative regulation of T cell proliferation			ISO	Q8TDM6 	J:164563 	
MGI:1933786	Dnaja3	DnaJ heat shock protein family (Hsp40) member A3	16		positive regulation of T cell proliferation			IMP	MGI:2448686 MGI:3040717 	J:98985 	
MGI:2149010	Dock2	dedicator of cyto-kinesis 2	11		alpha-beta T cell proliferation			IMP	MGI:2152031 	J:84581 	
MGI:2149010	Dock2	dedicator of cyto-kinesis 2	11		T cell proliferation			IMP	MGI:2152031 	J:84581 	
MGI:1921396	Dock8	dedicator of cytokinesis 8	19		memory T cell proliferation			ISO	Q8NF50 	J:73065 	
MGI:1354171	Ebi3	Epstein-Barr virus induced gene 3	17		T cell proliferation			IDA		J:77522 	
MGI:102708	Efnb1	ephrin B1	X		positive regulation of T cell proliferation	regulates the proliferation of T cell		IDA		J:95036 	
MGI:1928377	Elf4	E74-like factor 4 (ets domain transcription factor)	X		NK T cell proliferation			IDA		J:79568 	
MGI:1096338	Ephb6	Eph receptor B6	6		activated T cell proliferation	happens in spleen		IMP	MGI:3522020 	J:94701 	
MGI:95407	Epo	erythropoietin	5		positive regulation of activated T cell proliferation			ISO	RGD:2559 	J:155856 	
MGI:95410	Erbb2	erb-b2 receptor tyrosine kinase 2	11		negative regulation of immature T cell proliferation in thymus	regulates a function/process that happens in thymus		IMP		J:116829 	
MGI:109324	Fadd	Fas (TNFRSF6)-associated via death domain	7		positive regulation of activated T cell proliferation			IMP		J:176448 	
MGI:95541	Fkbp1a	FK506 binding protein 1a	2		T cell proliferation			IMP	MGI:2158807 	J:86699 	
MGI:1336205	Fkbp1b	FK506 binding protein 1b	12		T cell proliferation			IMP	MGI:2182644 	J:86699 	
MGI:1347474	Foxj1	forkhead box J1	11		negative regulation of T cell proliferation			IMP		J:90379 	
MGI:1891436	Foxp3	forkhead box P3	X		negative regulation of T cell proliferation	regulates the proliferation of T cell		IDA		J:116306 	
MGI:1891436	Foxp3	forkhead box P3	X		negative regulation of T cell proliferation	regulates the proliferation of CD4-positive, alpha-beta T cell		IDA		J:117627 	
MGI:1891436	Foxp3	forkhead box P3	X		negative regulation of T cell proliferation	regulates the proliferation of T cell		IMP	MGI:1857034 	J:102496 	
MGI:1891436	Foxp3	forkhead box P3	X		negative regulation of T cell proliferation	regulates the proliferation of mature alpha-beta T cell		IMP	MGI:1857034 	J:115967 	
MGI:1891436	Foxp3	forkhead box P3	X		negative regulation of T cell proliferation			ISO	Q9BZS1 	J:164563 	
MGI:1891436	Foxp3	forkhead box P3	X		positive regulation of immature T cell proliferation in thymus	regulates a function/process that happens in thymus		IMP	MGI:1857034 	J:116829 	
MGI:95602	Fyn	Fyn proto-oncogene	10		activated T cell proliferation			IMP	MGI:2179145 	J:70886 	
MGI:95713	Gja1	gap junction protein, alpha 1	10		T cell proliferation			IMP		J:269549 	
MGI:2141180	Glmn	glomulin, FKBP associated protein	5		negative regulation of T cell proliferation			ISO	Q92990 	J:164563 	
MGI:95789	Gnrh1	gonadotropin releasing hormone 1	14		negative regulation of immature T cell proliferation			ISO	RGD:2720 	J:155856 	
MGI:109162	Gpam	glycerol-3-phosphate acyltransferase, mitochondrial	19		positive regulation of activated T cell proliferation	regulates a function/process that happens in spleen,regulates the proliferation of T cell		IMP	MGI:2669956 	J:143259 	
MGI:1934765	Gpnmb	glycoprotein (transmembrane) nmb	6		negative regulation of T cell proliferation			ISO	Q14956 	J:164563 	
MGI:95895	H2-Aa	histocompatibility 2, class II antigen A, alpha	17		negative regulation of T cell proliferation			ISO	RGD:1595867 	J:155856 	
MGI:103070	H2-Ab1	histocompatibility 2, class II antigen A, beta 1	17		negative regulation of T cell proliferation			ISO	RGD:3469 	J:155856 	
MGI:95922	H2-DMb1	histocompatibility 2, class II, locus Mb1	17		positive regulation of T cell proliferation			ISO	P28068 	J:164563 	
MGI:95923	H2-DMb2	histocompatibility 2, class II, locus Mb2	17		positive regulation of T cell proliferation			ISO	P28068 	J:164563 	
MGI:2159682	Havcr2	hepatitis A virus cellular receptor 2	11		negative regulation of T cell proliferation			IMP		J:86226 	
MGI:2159682	Havcr2	hepatitis A virus cellular receptor 2	11		positive regulation of T cell proliferation			IMP		J:209885 	
MGI:104853	Hes1	hes family bHLH transcription factor 1	16		positive regulation of T cell proliferation	regulates the proliferation of T cell		IMP	MGI:2149672 	J:98892 	
MGI:96113	Hmgb1	high mobility group box 1	5		positive regulation of activated T cell proliferation			ISO	P09429 	J:164563 	
MGI:1354701	Icosl	icos ligand	10		positive regulation of activated T cell proliferation			TAS		J:114030 	
MGI:96416	Ido1	indoleamine 2,3-dioxygenase 1	8		negative regulation of activated T cell proliferation			IMP	MGI:3505776 	J:132719 	
MGI:96416	Ido1	indoleamine 2,3-dioxygenase 1	8		negative regulation of T cell proliferation	regulates the proliferation of T cell		IMP	MGI:3505776 	J:132719 	
MGI:107656	Ifng	interferon gamma	10		positive regulation of T cell proliferation	regulates the proliferation of peritoneal macrophage		IDA		J:107465 	
MGI:96432	Igf1	insulin-like growth factor 1	10		positive regulation of activated T cell proliferation			ISO	P05019 	J:164563 	
MGI:96434	Igf2	insulin-like growth factor 2	7		positive regulation of activated T cell proliferation			IBA	PTN005325037 	J:265628 	
MGI:96434	Igf2	insulin-like growth factor 2	7		positive regulation of activated T cell proliferation			ISO	P01344 	J:164563 	
MGI:96437	Igfbp2	insulin-like growth factor binding protein 2	1		positive regulation of activated T cell proliferation			ISO	P18065 	J:164563 	
MGI:96533	Ihh	Indian hedgehog	1		negative regulation of immature T cell proliferation in thymus			IMP		J:145997 	
MGI:96542	Il1a	interleukin 1 alpha	2		positive regulation of immature T cell proliferation in thymus			IBA	PTN000008680 	J:265628 	
MGI:96543	Il1b	interleukin 1 beta	2		positive regulation of immature T cell proliferation in thymus			IBA	PTN000008680 	J:265628 	
MGI:96543	Il1b	interleukin 1 beta	2		positive regulation of immature T cell proliferation in thymus			ISO	RGD:2891 	J:155856 	
MGI:96543	Il1b	interleukin 1 beta	2		positive regulation of T cell proliferation			ISO	P01584 	J:164563 	
MGI:96548	Il2	interleukin 2	3		positive regulation of activated T cell proliferation	regulates the proliferation of T cell		IDA		J:64279 J:98326 	
MGI:96548	Il2	interleukin 2	3		positive regulation of activated T cell proliferation	regulates the proliferation of T cell		IMP	MGI:1857191 	J:39989 	
MGI:96548	Il2	interleukin 2	3		positive regulation of activated T cell proliferation			ISO	P60568 	J:73065 	
MGI:96548	Il2	interleukin 2	3		positive regulation of T cell proliferation	regulates the proliferation of T cell		IDA		J:1013 	
MGI:96548	Il2	interleukin 2	3		positive regulation of T cell proliferation			IMP	MGI:1857191 	J:191418 	
MGI:96548	Il2	interleukin 2	3		positive regulation of T cell proliferation			ISO	RGD:620047 	J:155856 	
MGI:96548	Il2	interleukin 2	3		regulation of T cell homeostatic proliferation	regulates the proliferation of CD4-positive, CD25-positive, alpha-beta regulatory T cell		IMP	MGI:1857191 	J:112602 	
MGI:96549	Il2ra	interleukin 2 receptor, alpha chain	2		negative regulation of T cell proliferation			IMP	MGI:1857192 	J:84826 	
MGI:96549	Il2ra	interleukin 2 receptor, alpha chain	2		positive regulation of activated T cell proliferation	regulates the proliferation of T cell		IMP	MGI:1857192 	J:64279 	
MGI:96549	Il2ra	interleukin 2 receptor, alpha chain	2		positive regulation of T cell proliferation			ISO	RGD:2895 	J:155856 	
MGI:96549	Il2ra	interleukin 2 receptor, alpha chain	2		regulation of T cell homeostatic proliferation	regulates the proliferation of CD4-positive, CD25-positive, alpha-beta regulatory T cell		IMP	MGI:1857192 	J:112602 	
MGI:96556	Il4	interleukin 4	11		positive regulation of activated T cell proliferation	regulates the proliferation of T cell		IDA		J:98326 J:112035 	
MGI:96556	Il4	interleukin 4	11		positive regulation of T cell proliferation	regulates the proliferation of T cell		IDA		J:1013 	
MGI:96556	Il4	interleukin 4	11		positive regulation of T cell proliferation			IDA		J:143168 	
MGI:109552	Il4i1	interleukin 4 induced 1	7		negative regulation of T cell proliferation			ISO	Q96RQ9 	J:164563 	
MGI:5439399	Il4i1b	interleukin 4 induced 1B	7		negative regulation of T cell proliferation			ISO	Q96RQ9 	J:164563 	
MGI:96559	Il6	interleukin 6	5		positive regulation of T cell proliferation			ISO	P05231 	J:164563 	
MGI:96560	Il6st	interleukin 6 signal transducer	13		positive regulation of T cell proliferation			ISO	P40189 	J:164563 	
MGI:96539	Il12a	interleukin 12a	3		positive regulation of T cell proliferation	regulates the proliferation of T cell		IDA		J:65439 	
MGI:96540	Il12b	interleukin 12b	11		positive regulation of activated T cell proliferation			ISO	P29460 	J:164563 	
MGI:96540	Il12b	interleukin 12b	11		positive regulation of NK T cell proliferation			ISO	P29460 	J:164563 	
MGI:96540	Il12b	interleukin 12b	11		positive regulation of T cell proliferation	regulates the proliferation of T cell		IDA		J:65439 	
MGI:96540	Il12b	interleukin 12b	11		positive regulation of T cell proliferation			ISO	P29460 	J:164563 	
MGI:104579	Il12rb1	interleukin 12 receptor, beta 1	8		positive regulation of activated T cell proliferation			IBA	PTN002745680 	J:265628 	
MGI:104579	Il12rb1	interleukin 12 receptor, beta 1	8		positive regulation of activated T cell proliferation			ISO	P42701 	J:164563 	
MGI:103014	Il15	interleukin 15	8		NK T cell proliferation			IMP	MGI:2136897 	J:60915 	
MGI:103014	Il15	interleukin 15	8		positive regulation of T cell proliferation			IBA	PTN002682897 	J:265628 	
MGI:103014	Il15	interleukin 15	8		positive regulation of T cell proliferation			IMP	MGI:2136897 	J:60915 	
MGI:107936	Il18	interleukin 18	9		positive regulation of activated T cell proliferation			ISO	Q14116 	J:164563 	
MGI:107936	Il18	interleukin 18	9		positive regulation of activated T cell proliferation			ISS	Q14116 	J:115169 	
MGI:107936	Il18	interleukin 18	9		positive regulation of NK T cell proliferation			ISO	Q14116 	J:164563 	
MGI:2143266	Il20rb	interleukin 20 receptor beta	9		negative regulation of T cell proliferation	regulates the proliferation of T cell		IMP	MGI:3830304 	J:143497 	
MGI:1890474	Il21	interleukin 21	3		positive regulation of T cell proliferation			ISO	Q9HBE4 	J:73065 	
MGI:1932410	Il23a	interleukin 23, alpha subunit p19	10		positive regulation of activated T cell proliferation			ISO	Q9NPF7 	J:164563 	
MGI:1932410	Il23a	interleukin 23, alpha subunit p19	10		positive regulation of NK T cell proliferation			ISO	Q9NPF7 	J:164563 	
MGI:1932410	Il23a	interleukin 23, alpha subunit p19	10		positive regulation of T cell proliferation			IBA	PTN000409283 	J:265628 	
MGI:1932410	Il23a	interleukin 23, alpha subunit p19	10		positive regulation of T cell proliferation			ISO	Q9NPF7 	J:164563 	
MGI:1932410	Il23a	interleukin 23, alpha subunit p19	10		T cell proliferation			IDA		J:124638 	
MGI:2384409	Il27	interleukin 27	7		regulation of T cell proliferation			IBA	PTN000466839 	J:265628 	
MGI:2384409	Il27	interleukin 27	7		regulation of T cell proliferation			IDA		J:77522 	
MGI:1355318	Il27ra	interleukin 27 receptor, alpha	8		positive regulation of activated T cell proliferation			IBA	PTN002745680 	J:265628 	
MGI:96590	Irf1	interferon regulatory factor 1	11		regulation of CD8-positive, alpha-beta T cell proliferation			IMP		J:183131 	
MGI:1202301	Itch	itchy, E3 ubiquitin protein ligase	2		negative regulation of alpha-beta T cell proliferation	regulates the proliferation of CD4-positive, alpha-beta T cell		IMP	MGI:1856404 	J:89097 	
MGI:3578624	Itgad	integrin, alpha D	7		activated T cell proliferation			IMP	MGI:3579559 	J:90954 	
MGI:96606	Itgal	integrin alpha L	7		activated T cell proliferation			IMP	MGI:2661083 	J:90954 	
MGI:96606	Itgal	integrin alpha L	7		positive regulation of T cell proliferation			IMP		J:125147 	
MGI:96607	Itgam	integrin alpha M	7		activated T cell proliferation			IMP	MGI:2157556 	J:90954 	
MGI:96609	Itgax	integrin alpha X	7	NOT	activated T cell proliferation			IMP	MGI:3579560 	J:90954 	
MGI:96611	Itgb2	integrin beta 2	10		activated T cell proliferation			IMP	MGI:1861705 	J:90954 	
MGI:99928	Jak3	Janus kinase 3	8		positive regulation of activated T cell proliferation			ISO	RGD:2940 	J:155856 	
MGI:99928	Jak3	Janus kinase 3	8		positive regulation of T cell proliferation			IBA	PTN000700628 	J:265628 	
MGI:99928	Jak3	Janus kinase 3	8		positive regulation of T cell proliferation			ISO	RGD:2940 	J:155856 	
MGI:108046	Laptm5	lysosomal-associated protein transmembrane 5	4		negative regulation of activated T cell proliferation	happens in spleen		IMP		J:137841 	
MGI:104663	Lep	leptin	6		positive regulation of T cell proliferation			ISO	P41159 	J:164563 	
MGI:96778	Lgals3	lectin, galactose binding, soluble 3	14		regulation of T cell proliferation			ISO	P17931 	J:164563 	
MGI:1316742	Lgals7	lectin, galactose binding, soluble 7	7		negative regulation of CD4-positive, alpha-beta T cell proliferation			IBA	PTN002602624 	J:265628 	
MGI:109496	Lgals9	lectin, galactose binding, soluble 9	11		negative regulation of CD4-positive, alpha-beta T cell proliferation			IBA	PTN002602624 	J:265628 	
MGI:109496	Lgals9	lectin, galactose binding, soluble 9	11		negative regulation of CD4-positive, alpha-beta T cell proliferation	happens in spleen,happens in UBERON:0004780,happens in regulatory T cell,affects a population of effector CD4-positive, alpha-beta T cell		IMP		J:224716 	
